City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Rikitea,PF,78.26,-23.1203,-134.9692,light rain,People ThankYou
3,Carnarvon,AU,77.07,-24.8667,113.6333,clear sky,Hospitality Carnarvon
4,Kudahuvadhoo,MV,81.55,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
9,Mar Del Plata,AR,69.82,-38.0023,-57.5575,clear sky,Gran Hotel Mar del Plata
10,Tiarei,PF,86.02,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
11,Nong Chik,TH,83.08,6.8436,101.178,overcast clouds,Bakkahland Farm and Resort
15,Mogadishu,SO,77.43,2.0371,45.3438,overcast clouds,Hotel Juba
17,Luganville,VU,80.06,-15.5333,167.1667,overcast clouds,The Espiritu Hotel
21,Salinopolis,BR,78.91,-0.6136,-47.3561,light rain,Salinas Park Resort Maçarico AP101
22,East London,ZA,73.54,-33.0153,27.9116,broken clouds,Tu Casa
26,Port Alfred,ZA,72.9,-33.5906,26.891,overcast clouds,The Halyards Hotel
27,Cape Town,ZA,69.28,-33.9258,18.4232,few clouds,"Radisson Blu Hotel Waterfront, Cape Town"
28,Butaritari,KI,81.77,3.0707,172.7902,broken clouds,Isles Sunset Lodge
32,Ambon,ID,77.14,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
36,Vaini,TO,80.76,-21.2,-175.2,scattered clouds,Keleti Beach Resort
38,Tam Ky,VN,71.58,15.5667,108.4833,overcast clouds,Nhà Nghỉ Phương Hòa
39,Hithadhoo,MV,82.15,-0.6,73.0833,broken clouds,Scoop Guest House
40,Tautira,PF,86.02,-17.7333,-149.15,light rain,Pension Oaoa
41,Arraial Do Cabo,BR,80.56,-22.9661,-42.0278,scattered clouds,Pousada Porto Praia
44,Taltal,CL,71.46,-25.4,-70.4833,few clouds,Residencial Karime
46,Bredasdorp,ZA,69.12,-34.5322,20.0403,overcast clouds,Bredasdorp Country Manor
48,Da Nang,VN,71.58,16.0678,108.2208,broken clouds,Grand Mercure Danang
49,Cabo San Lucas,MX,84.61,22.8909,-109.9124,broken clouds,Hotel Tesoro Los Cabos
