City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,14.8961,-24.4956,76.14,57,68,13.47,broken clouds
1,Bengkulu,-3.8004,102.2655,76.5,90,100,4.72,overcast clouds
2,Ushuaia,-54.8,-68.3,39.65,91,100,30.62,light rain
3,Busselton,-33.65,115.3333,64.04,73,0,12.03,clear sky
4,Puerto Ayora,-0.7393,-90.3518,82.36,85,100,7.0,overcast clouds
5,Bredasdorp,-34.5322,20.0403,69.28,78,91,12.66,light rain
6,Rongcheng,30.634,117.8517,42.6,93,100,0.49,overcast clouds
7,Pevek,69.7008,170.3133,-17.28,98,100,9.04,overcast clouds
8,Aklavik,68.2191,-135.0107,-26.57,68,75,3.44,broken clouds
9,Port Alfred,-33.5906,26.891,73.06,85,94,7.58,overcast clouds
10,Kruisfontein,-34.0033,24.7314,65.84,91,4,7.16,clear sky
11,Lola,7.8,-8.5333,80.85,33,88,0.4,overcast clouds
12,Dikson,73.5069,80.5464,-3.8,87,100,25.75,overcast clouds
13,Comodoro Rivadavia,-45.8667,-67.5,91.26,21,20,14.97,few clouds
14,Jamestown,42.097,-79.2353,22.64,31,100,9.22,overcast clouds
15,Adrar,20.5022,-10.0711,68.4,17,10,10.33,clear sky
16,Bluff,-46.6,168.3333,43.81,89,10,6.58,clear sky
17,Rikitea,-23.1203,-134.9692,78.12,73,100,12.66,overcast clouds
18,Kodiak,57.79,-152.4072,26.11,93,0,6.91,clear sky
19,Zyryanka,65.75,150.85,-32.62,95,35,7.09,scattered clouds
20,Havoysund,70.9963,24.6622,22.08,85,100,10.2,light snow
21,Halifax,44.6453,-63.5724,33.8,74,100,5.99,overcast clouds
22,Barrow,71.2906,-156.7887,-29.18,100,0,8.05,clear sky
23,Puerto Narino,-3.7703,-70.3831,76.95,97,100,4.09,light rain
24,Mahebourg,-20.4081,57.7,81.25,83,40,10.36,scattered clouds
25,Half Moon Bay,37.4636,-122.4286,75.72,61,0,3.44,haze
26,Raduzhnyy,62.0961,77.475,-3.51,97,75,8.68,broken clouds
27,Mataura,-46.1927,168.8643,43.48,99,26,2.15,scattered clouds
28,Rio Grande,-32.035,-52.0986,82.51,44,0,12.46,clear sky
29,Katsuura,35.1333,140.3,38.1,97,100,31.65,moderate rain
30,Dezhou,37.4486,116.2925,27.28,87,98,9.35,overcast clouds
31,Aden,12.7794,45.0367,76.71,69,8,7.52,clear sky
32,Tasiilaq,65.6145,-37.6368,13.39,71,100,9.01,overcast clouds
33,Dwarka,22.2394,68.9678,70.38,61,0,10.0,clear sky
34,Victoria,22.2855,114.1577,61.95,88,100,5.99,light rain
35,Yulara,-25.2406,130.9889,71.44,30,1,8.05,clear sky
36,Dongsheng,39.8161,109.9776,6.78,64,26,3.02,scattered clouds
37,Nikolskoye,59.7035,30.7861,32.88,92,100,12.91,snow
38,Bambanglipuro,-7.95,110.2833,62.6,94,100,4.43,heavy intensity rain
39,Champerico,14.3,-91.9167,93.76,56,1,9.46,clear sky
40,Hobart,-42.8794,147.3294,62.46,82,100,14.97,overcast clouds
41,Brae,60.3964,-1.353,42.71,87,100,9.28,overcast clouds
42,Piacabucu,-10.4056,-36.4344,84.99,65,97,15.79,overcast clouds
43,Olafsvik,64.8945,-23.7142,27.72,92,100,9.04,light snow
44,Christchurch,-43.5333,172.6333,53.01,90,100,4.61,overcast clouds
45,Tessalit,20.1986,1.0114,70.61,14,0,11.05,clear sky
46,Saint George,37.1041,-113.5841,67.53,23,0,4.0,clear sky
47,Georgetown,5.4112,100.3354,79.9,88,40,7.0,moderate rain
48,Grindavik,63.8424,-22.4338,28.87,93,75,5.75,light snow
49,Daru,-9.0763,143.2092,79.0,79,53,9.75,broken clouds
50,Ninghai,29.2892,121.4247,45.73,93,100,5.5,light rain
51,Aranos,-24.1333,19.1167,69.8,70,100,8.43,light rain
52,Salalah,17.0151,54.0924,75.11,46,0,10.18,clear sky
53,Riyadh,24.6877,46.7219,59.14,29,0,7.76,clear sky
54,Butaritari,3.0707,172.7902,81.77,75,74,12.86,broken clouds
55,Cedral,23.8,-100.7333,56.16,56,100,9.31,overcast clouds
56,East London,-33.0153,27.9116,72.54,94,75,8.05,broken clouds
57,Cape Town,-33.9258,18.4232,70.21,81,20,20.71,few clouds
58,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,5.75,scattered clouds
59,Nanortalik,60.1432,-45.2371,29.39,80,100,8.59,overcast clouds
60,New Norfolk,-42.7826,147.0587,62.1,64,100,0.51,overcast clouds
61,Padang,-0.9492,100.3543,76.75,84,100,3.44,overcast clouds
62,Devonport,-41.1667,146.35,58.01,91,78,5.3,broken clouds
63,Port Elizabeth,-33.918,25.5701,70.09,83,100,14.97,overcast clouds
64,Newburn,54.9876,-1.7442,48.16,96,75,5.75,broken clouds
65,Hithadhoo,-0.6,73.0833,82.26,76,36,10.0,scattered clouds
66,Carnarvon,-24.8667,113.6333,78.87,83,4,8.05,clear sky
67,Mishelevka,52.8575,103.1719,-26.64,100,98,2.06,overcast clouds
68,Bethel,41.3712,-73.414,31.68,74,100,9.22,snow
69,Sitka,57.0531,-135.33,35.49,87,100,0.0,overcast clouds
70,Kungurtug,50.5994,97.5228,-19.14,97,100,1.68,overcast clouds
71,Vardo,70.3705,31.1107,24.78,68,0,19.57,clear sky
72,Qaanaaq,77.484,-69.3632,-8.12,91,100,0.72,overcast clouds
73,Albany,42.6001,-73.9662,26.55,55,100,1.01,overcast clouds
74,Naze,28.3667,129.4833,59.02,93,100,15.59,light rain
75,Zhangye,38.9342,100.4517,26.33,46,98,2.55,overcast clouds
76,Vaini,-21.2,-175.2,78.96,89,40,5.75,scattered clouds
77,Hermanus,-34.4187,19.2345,72.9,84,16,15.86,few clouds
78,Blagoyevo,63.3667,47.9167,5.52,100,87,3.56,overcast clouds
79,Faanui,-16.4833,-151.75,80.92,75,100,15.46,light rain
80,Bodden Town,19.2833,-81.25,82.4,76,75,4.61,broken clouds
81,Chaumont,48.1167,5.1333,48.85,74,100,20.04,overcast clouds
82,Martapura,-3.4167,114.85,77.09,94,100,3.44,overcast clouds
83,Rocha,-34.4833,-54.3333,68.79,46,2,17.6,clear sky
84,Ryotsu,38.0833,138.4333,36.37,69,100,11.07,overcast clouds
85,Elizabeth City,36.2946,-76.2511,45.01,66,100,25.32,overcast clouds
86,Srednekolymsk,67.45,153.6833,-33.14,99,18,6.29,few clouds
87,Tazovskiy,67.4667,78.7,-9.89,96,18,10.6,few clouds
88,Mogadishu,2.0371,45.3438,77.59,81,100,17.47,overcast clouds
89,Taldan,53.6667,124.8,-3.96,99,100,2.82,overcast clouds
90,Angoche,-16.2325,39.9086,79.47,82,14,2.42,few clouds
91,Vanimo,-2.6741,141.3028,77.68,88,99,6.15,overcast clouds
92,Pangnirtung,66.1451,-65.7125,-29.2,75,0,9.22,clear sky
93,Khani,41.9563,42.9566,33.37,89,75,4.81,broken clouds
94,Bambous Virieux,-20.3428,57.7575,81.21,83,40,10.36,light rain
95,Hambantota,6.1241,81.1185,75.96,81,100,12.17,overcast clouds
96,Kapaa,22.0752,-159.319,76.98,82,40,13.8,light rain
97,Bogashevo,56.3683,85.1447,10.98,78,40,6.71,light shower snow
98,Klaksvik,62.2266,-6.589,34.72,67,100,30.56,overcast clouds
99,Warmbad,-28.45,18.7333,89.85,29,9,4.81,clear sky
100,Buraydah,26.326,43.975,55.85,26,0,6.31,clear sky
101,Hilo,19.7297,-155.09,75.11,79,5,1.01,clear sky
102,Yellowknife,62.456,-114.3525,-14.71,79,75,2.3,broken clouds
103,Chokurdakh,70.6333,147.9167,-3.62,97,100,10.47,overcast clouds
104,Hilton Head Island,32.2163,-80.7526,65.08,65,75,8.05,broken clouds
105,Neuquen,-38.9516,-68.0591,89.49,18,0,5.75,clear sky
106,Deoband,29.7,77.6833,52.9,66,0,4.23,clear sky
107,Bathsheba,13.2167,-59.5167,75.81,88,75,9.22,broken clouds
108,Xining,36.6167,101.7667,10.83,75,17,1.99,few clouds
109,Talaya,61.3833,152.75,-40.85,100,79,1.52,broken clouds
110,Khatanga,71.9667,102.5,-24.18,93,89,3.15,overcast clouds
111,Port Hardy,50.6996,-127.4199,44.76,93,75,3.44,broken clouds
112,Fort Nelson,58.8053,-122.7002,-2.61,78,75,3.44,broken clouds
113,Dong Xoai,11.5333,106.9167,74.95,77,100,2.24,overcast clouds
114,Dingle,10.9995,122.6711,74.5,93,86,6.49,overcast clouds
115,Marawi,7.9986,124.2928,64.65,91,100,2.53,overcast clouds
116,Roald,62.5833,6.1333,43.16,87,75,8.05,broken clouds
117,Dhidhdhoo,6.8833,73.1,78.82,83,100,11.92,overcast clouds
118,Nacala,-14.5428,40.6728,77.11,91,23,0.81,few clouds
119,Bintulu,3.1667,113.0333,77.41,94,20,0.0,few clouds
120,Alofi,-19.0595,-169.9187,75.09,94,99,2.3,overcast clouds
121,Ribeira Grande,38.5167,-28.7,63.0,55,75,4.61,broken clouds
122,Ixtapa,20.7,-105.2,91.29,19,99,5.97,overcast clouds
123,Atuona,-9.8,-139.0333,77.49,79,25,14.81,light rain
124,Rapid Valley,44.0625,-103.1463,58.37,29,0,14.0,clear sky
125,San Lawrenz,36.0553,14.204,53.85,76,100,5.48,overcast clouds
126,Gornopravdinsk,60.05,69.9,5.49,96,100,2.89,light snow
127,Mainpuri,27.2333,79.0167,55.06,59,0,4.76,clear sky
128,Saint-Philippe,-21.3585,55.7679,80.19,87,33,8.28,scattered clouds
129,Kropotkin,45.4375,40.5756,32.99,73,0,6.44,clear sky
130,Ada,43.4166,-116.1262,38.66,69,0,4.0,clear sky
131,Joaima,-16.6542,-41.0306,84.36,62,23,2.48,few clouds
132,Bronnoysund,65.4625,12.1997,33.91,93,100,17.27,overcast clouds
133,Saint-Pierre,-21.3393,55.4781,80.28,83,20,16.11,few clouds
134,Qiongshan,20.0058,110.3542,62.58,94,75,11.18,broken clouds
135,Atar,20.5169,-13.0499,84.25,32,100,11.5,overcast clouds
136,Kajaani,64.2273,27.7285,30.25,100,100,9.22,overcast clouds
137,Luderitz,-26.6481,15.1594,75.31,62,0,13.0,clear sky
138,Kishtwar,33.3167,75.7667,40.26,72,99,4.05,overcast clouds
139,Waipawa,-41.4122,175.5153,54.23,85,100,11.23,overcast clouds
140,Chara,56.9064,118.2631,-24.77,86,91,0.51,overcast clouds
141,Namibe,-15.1961,12.1522,75.83,80,100,5.68,overcast clouds
142,Airai,-8.9266,125.4092,58.68,91,35,2.21,scattered clouds
143,Hamilton,39.1834,-84.5333,29.77,57,45,3.0,scattered clouds
144,Punta Arenas,-53.15,-70.9167,51.91,50,20,46.04,few clouds
145,Nybro,56.7446,15.9071,37.02,76,100,10.51,overcast clouds
146,Chuy,-33.6971,-53.4616,73.45,37,0,14.23,clear sky
147,Kwinana,-32.25,115.7667,82.74,62,15,5.28,few clouds
148,Saint-Joseph,-21.3667,55.6167,79.18,86,16,9.75,few clouds
149,Provideniya,64.3833,-173.3,-14.12,95,19,3.38,few clouds
150,Hasaki,35.7333,140.8333,34.29,96,100,32.48,overcast clouds
151,Castro,-24.7911,-50.0119,82.29,47,6,2.91,clear sky
152,Berlevag,70.8578,29.0864,19.4,87,100,11.77,light snow
153,Kavieng,-2.5744,150.7967,80.76,77,96,5.91,overcast clouds
154,Kununurra,-15.7667,128.7333,80.58,83,40,0.0,scattered clouds
155,Calama,-22.4667,-68.9333,75.49,14,94,18.54,overcast clouds
156,Nowogard,53.6744,15.1163,38.97,69,0,10.36,clear sky
157,Roseville,38.7521,-121.288,81.99,45,0,3.44,clear sky
158,Bonavista,48.6499,-53.1147,44.11,69,100,15.14,overcast clouds
159,Jumla,29.2747,82.1838,29.53,78,1,6.4,clear sky
160,Maceio,-9.6658,-35.7353,89.04,58,40,19.57,scattered clouds
161,Sajanan,37.0573,9.2426,54.52,85,100,5.95,overcast clouds
162,Tokonou,9.65,-9.7833,81.73,13,4,4.52,clear sky
163,Labuhan,-6.8844,112.2051,76.28,90,100,3.47,overcast clouds
164,Turayf,31.6725,38.6637,53.85,37,0,3.44,clear sky
165,Paamiut,61.994,-49.6678,13.68,94,100,19.19,light snow
166,Izumo,35.3667,132.7667,46.35,71,100,15.43,overcast clouds
167,Storforshei,66.4043,14.5233,22.78,100,75,2.3,broken clouds
168,Narsaq,60.9167,-46.05,25.52,91,100,7.72,overcast clouds
169,Moose Factory,51.2585,-80.6094,1.4,50,0,9.22,clear sky
170,Yumen,40.2833,97.2,28.35,40,100,13.31,overcast clouds
171,Requena,39.4883,-1.1004,51.51,69,99,8.81,overcast clouds
172,San Vicente,-26.6167,-54.1333,86.04,38,99,6.02,overcast clouds
173,Itarema,-2.9248,-39.9167,84.0,67,8,14.72,clear sky
174,Lahat,-3.8,103.5333,72.68,95,100,2.19,overcast clouds
175,Hami,42.8,93.45,27.19,51,98,5.64,overcast clouds
176,Mafinga,-7.25,35.0667,67.55,91,100,3.62,overcast clouds
177,Prieska,-29.6641,22.7474,86.43,19,29,5.14,scattered clouds
178,Weihai,37.5017,122.1136,36.5,76,100,5.59,light rain
179,Porecatu,-22.7558,-51.3792,93.27,49,77,2.77,broken clouds
