City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.26,72,76,12.1,light rain
1,Kaitangata,NZ,-46.2817,169.8464,53.92,81,16,2.86,few clouds
2,Poum,NC,-20.2333,164.0167,81.57,78,94,13.53,overcast clouds
3,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,5.75,clear sky
4,Kudahuvadhoo,MV,2.6708,72.8944,81.55,78,100,10.83,overcast clouds
5,Honningsvag,NO,70.9821,25.9704,20.95,86,100,13.8,snow
6,Busselton,AU,-33.65,115.3333,63.05,75,0,11.5,clear sky
7,Narsaq,GL,60.9167,-46.05,28.62,90,100,7.0,overcast clouds
8,Bluff,NZ,-46.6,168.3333,47.8,87,9,6.11,clear sky
9,Mar Del Plata,AR,-38.0023,-57.5575,69.82,61,0,9.22,clear sky
10,Tiarei,PF,-17.5333,-149.3333,86.02,77,81,15.86,light rain
11,Nong Chik,TH,6.8436,101.178,83.08,91,98,7.9,overcast clouds
12,Tuatapere,NZ,-46.1333,167.6833,46.81,83,11,4.07,few clouds
13,Collie,AU,-33.3667,116.15,58.98,73,0,7.49,clear sky
14,Cherskiy,RU,68.75,161.3,-21.01,97,100,7.94,overcast clouds
15,Mogadishu,SO,2.0371,45.3438,77.43,82,100,17.81,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,-12.71,73,75,4.61,broken clouds
17,Luganville,VU,-15.5333,167.1667,80.06,86,100,10.45,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,46.47,97,27,2.95,scattered clouds
19,Barrow,US,71.2906,-156.7887,-29.18,68,0,9.22,clear sky
20,Ushuaia,AR,-54.8,-68.3,40.66,81,100,26.46,moderate rain
21,Salinopolis,BR,-0.6136,-47.3561,78.91,85,100,7.74,light rain
22,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds
23,Saint Anthony,US,45.0205,-93.218,9.91,52,0,9.22,clear sky
24,Inuvik,CA,68.3499,-133.7218,-24.74,75,75,2.3,broken clouds
25,Norman Wells,CA,65.282,-126.8329,-11.16,64,75,5.75,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,72.9,84,96,10.2,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,69.28,83,20,21.85,few clouds
28,Butaritari,KI,3.0707,172.7902,81.77,75,52,12.62,broken clouds
29,Te Anau,NZ,-45.4167,167.7167,47.35,88,34,1.59,scattered clouds
30,Provideniya,RU,64.3833,-173.3,-14.48,95,19,3.15,few clouds
31,Jutai,BR,-5.1833,-68.9,75.76,97,100,2.89,moderate rain
32,Ambon,ID,-3.6954,128.1814,77.14,88,40,5.75,scattered clouds
33,Marrakesh,MA,31.6315,-8.0083,64.47,25,0,4.61,clear sky
34,Erzin,TR,36.9559,36.2,50.72,76,97,2.46,overcast clouds
35,Nanchang,CN,28.6833,115.8833,44.78,86,99,4.52,overcast clouds
36,Vaini,TO,-21.2,-175.2,80.76,83,40,5.75,scattered clouds
37,Lata,PT,40.1629,-8.3327,54.05,97,54,5.64,broken clouds
38,Tam Ky,VN,15.5667,108.4833,71.58,93,100,4.97,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,82.15,75,67,9.46,broken clouds
40,Tautira,PF,-17.7333,-149.15,86.02,76,91,16.15,light rain
41,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,40,16.11,scattered clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,20,9.22,few clouds
43,Chokurdakh,RU,70.6333,147.9167,-4.25,96,100,10.49,overcast clouds
44,Taltal,CL,-25.4,-70.4833,71.46,68,14,7.52,few clouds
45,Great Falls,US,47.5002,-111.3008,52.99,28,0,5.75,clear sky
46,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,92,14.97,overcast clouds
47,Hobart,AU,-42.8794,147.3294,60.66,82,75,14.97,broken clouds
48,Da Nang,VN,16.0678,108.2208,71.58,83,75,4.61,broken clouds
49,Cabo San Lucas,MX,22.8909,-109.9124,84.61,50,75,9.22,broken clouds
50,Hermanus,ZA,-34.4187,19.2345,72.9,83,26,16.22,scattered clouds
51,Ilulissat,GL,69.2167,-51.1,23.02,50,75,13.8,broken clouds
52,New Norfolk,AU,-42.7826,147.0587,60.3,68,90,0.98,overcast clouds
53,Jamestown,US,42.097,-79.2353,22.64,38,100,5.75,overcast clouds
54,Albany,US,42.6001,-73.9662,26.17,54,100,3.0,overcast clouds
55,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds
56,Vardo,NO,70.3705,31.1107,26.58,63,75,24.16,broken clouds
57,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,75,12.66,broken clouds
58,Salisbury,GB,51.0693,-1.7957,50.65,96,100,19.57,mist
59,Shahr-E Babak,IR,30.1165,55.1186,38.44,53,1,12.21,clear sky
60,Karratha,AU,-20.7377,116.8463,84.02,63,84,7.49,broken clouds
61,Atuona,PF,-9.8,-139.0333,77.54,79,24,14.74,light rain
62,Leningradskiy,RU,69.3833,178.4167,-16.15,93,97,5.91,overcast clouds
63,Adrar,MR,20.5022,-10.0711,66.02,19,46,10.18,scattered clouds
64,Mount Isa,AU,-20.7333,139.5,73.17,88,33,0.0,scattered clouds
65,Mehamn,NO,71.0357,27.8492,21.38,93,100,16.24,snow
66,Paltinis,RO,48.2167,26.65,37.02,63,0,10.89,clear sky
67,Ancud,CL,-41.8697,-73.8203,83.23,72,24,6.06,few clouds
68,Severo-Kurilsk,RU,50.6789,156.125,21.92,70,36,10.22,scattered clouds
69,Darnah,LY,32.767,22.6367,55.9,69,0,9.73,clear sky
70,Faanui,PF,-16.4833,-151.75,80.82,74,100,15.28,light rain
71,Villarrica,PY,-25.75,-56.4333,92.57,32,13,7.67,few clouds
72,Asau,RO,46.4333,26.4,30.96,82,100,3.71,overcast clouds
73,Alofi,NU,-19.0595,-169.9187,78.69,89,100,6.91,overcast clouds
74,Nanyamba,TZ,-10.6833,39.8333,72.41,98,72,3.24,broken clouds
75,Colac,AU,-38.3333,143.5833,61.43,68,6,2.89,clear sky
76,Laguna,US,38.421,-121.4238,79.34,44,0,3.44,clear sky
77,Airai,TL,-8.9266,125.4092,58.48,90,37,1.92,scattered clouds
78,Weiser,US,44.251,-116.9693,43.61,82,5,0.94,clear sky
79,Castro,BR,-24.7911,-50.0119,81.64,52,6,2.91,clear sky
80,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,12.66,haze
81,Srednekolymsk,RU,67.45,153.6833,-33.47,99,18,6.06,few clouds
82,Martapura,ID,-3.4167,114.85,77.09,94,100,1.14,overcast clouds
83,Husavik,IS,66.0449,-17.3389,-4.09,80,71,14.05,broken clouds
84,Dingle,PH,10.9995,122.6711,74.28,93,91,6.38,overcast clouds
85,Puerto Escondido,MX,15.85,-97.0667,86.83,70,75,3.44,broken clouds
86,Labytnangi,RU,66.6572,66.4183,-17.28,100,100,1.97,overcast clouds
87,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds
88,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds
89,Vestmannaeyjar,IS,63.4427,-20.2734,33.6,74,98,28.48,overcast clouds
90,Thompson,CA,55.7435,-97.8558,-7.44,71,100,8.05,overcast clouds
